"record_id","title","authors","year","document_type","journal_or_conference","volume_issue_pages","doi","stable_url","metadata_source","search_id","primary_theme","secondary_tags","domestic_or_international","evidence_level","fulltext_status","include_status","exclusion_reason","bibkey","chap1_use","chap2_use","claim_ids","metadata_verified_at","publication_language","recent_five_year"
"LIT011","Distributed Acoustic Sensing Based on Pulse-Coding Phase-Sensitive OTDR","Zinan Wang; Bin Zhang; Ji Xiong; Yun Fu; Shengtao Lin; Jialin Jiang; Yongxiang Chen; Yue Wu; Qingyang Meng; Yunjiang Rao","2019","journal article","IEEE Internet of Things Journal","6(4):6117-6124","10.1109/JIOT.2018.2869474","https://doi.org/10.1109/JIOT.2018.2869474","DOI metadata and accepted manuscript","S001","T1","pulse coding; linearization; heterodyne phi-OTDR","domestic","A","author manuscript identified","pilot include","","wang2019pulsecoding","performance enhancement route","pulse coding and linearization","","2026-07-27","en","no"
"LIT012","Fading Noise Suppression in Phi-OTDR Based on Nearest Neighbor Analysis","Guojie Tu; Mengmeng Zhao; Zheng Tang; Kai Qian; Benli Yu","2020","journal article","Journal of Lightwave Technology","38(23):6691-6698","10.1109/JLT.2020.3015196","https://doi.org/10.1109/JLT.2020.3015196","DOI metadata and publisher page","S004","T4","coherent fading; polarization fading; phase hopping","domestic","A","publisher abstract verified","pilot include","","tu2020fading","fading suppression methods","numerical phase reconstruction","","2026-07-27","en","no"
"LIT013","Optical Fiber Distributed Acoustic Sensors: A Review","Zuyuan He; Qingwen Liu","2021","review article","Journal of Lightwave Technology","39(12):3671-3686","10.1109/JLT.2021.3059771","https://doi.org/10.1109/JLT.2021.3059771","DOI metadata and publisher page","S001","T1","DAS review; reflectometry; phase recovery; applications","domestic","A","publisher abstract verified","pilot include","","he2021review","core review for history and applications","DAS principle framework","","2026-07-27","en","yes"
"LIT014","Spectrogram of Carrier Transient in Semiconductor Optical Amplifier With Dispersive Pump-Probe Spectroscopy","Ningning Yang; Lun Li; Liao Chen; Yaoshuai Li; Xin Dong; Chi Zhang; Xinliang Zhang","2021","journal article","Journal of Lightwave Technology","39(12):4109-4117","10.1109/JLT.2021.3055225","https://doi.org/10.1109/JLT.2021.3055225","DOI metadata and publisher page","S002","T2","SOA carrier transient; spectral dynamics; carrier recovery","domestic","B","publisher abstract verified","pilot include","","yang2021carrier","SOA carrier dynamics evidence","carrier transient and recovery","","2026-07-27","en","yes"
"LIT015","Accurate Measurement for the Subsequent Perturbation in the Coherent Phi-OTDR System with Small Laser-Frequency-Drift","Zhen Zhong; Ningmu Zou; Xuping Zhang","2021","journal article","Journal of Lightwave Technology","39(18):5973-5979","10.1109/JLT.2021.3094088","https://doi.org/10.1109/JLT.2021.3094088","DOI metadata and publisher page","S004","T4","laser frequency drift; coherent phi-OTDR; phase measurement","domestic","A","publisher metadata verified","pilot include","","zhong2021frequency","frequency-drift problem and mitigation","frequency drift propagation to phase","","2026-07-27","en","yes"
"LIT016","Study on the spectral characteristics of IF signals and its influence on the performance of heterodyne Phi-OTDR","Chi Zhang; Chengzhen Luo; Xiyuan Zhang; Shaoxiong Tang; Chenyang Ding; Imtiaz Naseeb Awan; Shuai Tong; Hao Ding; Tian Xiao; Ningmu Zou; Yixin Zhang; Xuping Zhang","2025","journal article","Optics Express","33(7):16389-16407","10.1364/OE.559338","https://doi.org/10.1364/OE.559338","DOI metadata; publisher page; PubMed","S004","T4","IF spectrum; digital filtering; heterodyne demodulation","domestic","A","open full text identified","pilot include","","zhang2025if","IF filtering and demodulation performance","IF filter design criteria","","2026-07-27","en","yes"
"LIT017","Mitigating the impact of laser phase noise and frequency drift in Phi-OTDR with delay-beat differential phase demodulation","Heng Qian; Li Liu; Haijun He; Yingna Li; Chuan Li; Zhengang Zhao; Jiahong Zhang","2025","journal article","Optics Express","33(14):29395-29408","10.1364/OE.564779","https://doi.org/10.1364/OE.564779","DOI metadata and publisher page","S004","T4","phase noise; frequency drift; differential phase demodulation","domestic","A","open full text","pilot include","","qian2025drift","recent frequency-drift mitigation","delay-beat differential phase method","","2026-07-27","en","yes"
"LIT018","Real-time phase demodulation method for heterodyne Phi-OTDR using single-sideband spectrum interception and rotated-vector-sum","Fei Liu; Zhi Wang; Guo Zhu; Zhiwen Lian; Jianxin Ren; Yi Liu; Santosh Kumar; Xian Zhou","2025","journal article","Optics Express","33(22):47257-47272","10.1364/OE.577738","https://doi.org/10.1364/OE.577738","DOI metadata and publisher page","S004","T4","real-time demodulation; heterodyne; single sideband","domestic","A","publisher abstract verified","pilot include","","liu2025realtime","recent real-time demodulation","real-time phase recovery","","2026-07-27","en","yes"
"LIT019","Real-time distributed acoustic sensing based on phase-sensitive optical time-domain reflectometer with fading suppression","Sheng Hu; Shasha Li; Puchu Lv; Xinmin Hu; Haixin Qin; Cong Liu; Chenggang Guan","2025","journal article","Optical Engineering","64(4):046103","10.1117/1.OE.64.4.046103","https://doi.org/10.1117/1.OE.64.4.046103","DOI metadata and publisher page","S004","T4","real-time DAS; fading suppression; FPGA","domestic","A","publisher abstract verified","pilot include","","hu2025realtime","recent real-time system and fading suppression","phase modulation and FPGA processing","","2026-07-27","en","yes"
"LIT020","Temporal response of the acoustooptic modulator: geometrical optics model in the low scattering efficiency limit","Richard V. Johnson","1977","journal article","Applied Optics","16(2):507-514","10.1364/AO.16.000507","https://doi.org/10.1364/AO.16.000507","DOI metadata and publisher full text","S003","T3","AOM temporal response; acoustic transit; optical beam overlap","international","A","open full text","pilot include","","johnson1977aom","AOM switching and timing basis","AOM impulse response and rise time","","2026-07-27","en","no"
"LIT022","On-chip silicon electro-optical modulator with ultra-high extinction ratio for fiber-optic distributed acoustic sensing","Zhuo Cheng; Xiaoqian Shu; Lingmei Ma; Bigeng Chen; Caiyun Li; Chunlei Sun; Maoliang Wei; Shaoliang Yu; Lan Li; Hongtao Lin; Yunjiang Rao","2023","journal article","Nature Communications","14(1):7409","10.1038/s41467-023-43244-9","https://doi.org/10.1038/s41467-023-43244-9","DOI metadata and publisher open full text","S005","T5","on-chip modulator; extinction ratio; compact DAS; power consumption","domestic","A","open full text","pilot include","","cheng2023onchip","DAS miniaturization and modulator integration","extinction-ratio significance","","2026-07-27","en","yes"
"LIT023","Silicon photonic integrated interrogator for fiber-optic distributed acoustic sensing","Zhicheng Jin; Jiageng Chen; Yanming Chang; Qingwen Liu; Zuyuan He","2024","journal article","Photonics Research","12(3):465-473","10.1364/PRJ.512298","https://doi.org/10.1364/PRJ.512298","DOI metadata and publisher open full text","S005","T5","integrated DAS interrogator; silicon photonics; dual polarization coherent receiver","domestic","A","open full text","pilot include","","jin2024integrated","integrated-versus-discrete DAS interrogator comparison","integrated transmitter and coherent receiver architecture","","2026-07-27","en","yes"
"LIT024","Hybrid Photonic Integrated Interrogator for Distributed Acoustic Sensing","Zhicheng Jin; Jiageng Chen; Zhengwen Li; Hanzhao Li; Keke Hu; Xuhui Yu; Zuyuan He","2026","conference paper","Optical Fiber Communication Conference 2026","W4D.2","10.1364/OFC.2026.W4D.2","https://doi.org/10.1364/OFC.2026.W4D.2","DOI metadata and publisher abstract","S005","T5","hybrid integration; InP laser; SOI PIC; compact DAS","domestic","B","publisher abstract verified","pilot include","","jin2026hybrid","recent hybrid-integrated DAS trend","hybrid source and interrogator integration","","2026-07-27","en","yes"
"LIT025","Advances in phase-sensitive optical time-domain reflectometry","Shuaiqi Liu; Feihong Yu; Rui Hong; Weijie Xu; Liyang Shao; Feng Wang","2022","journal article","Opto-Electronic Advances","5(3):200078","10.29026/oea.2022.200078","https://doi.org/10.29026/oea.2022.200078","DOI metadata","S006","T1","review; phi-OTDR evolution; performance","domestic","A","metadata and abstract verified","include","","liu2022advances","technical evolution and performance framework","phi-OTDR principle overview","","2026-07-27","en","yes"
"LIT026","Modulation instability-induced fading in phase-sensitive optical time-domain reflectometry","Hugo F. Martins; Sonia Martin-Lopez; Pedro Corredera; Pedro Salgado; Orlando Frazao; Miguel Gonzalez-Herraez","2013","journal article","Optics Letters","38(6):872-874","10.1364/OL.38.000872","https://doi.org/10.1364/OL.38.000872","DOI metadata","S006","T1","modulation instability; fading; nonlinear propagation","international","A","metadata and abstract verified","include","","martins2013modulation","nonlinear-fading limitation","propagation impairment basis","","2026-07-27","en","no"
"LIT027","Recent Advances in Phase-Sensitive Optical Time Domain Reflectometry","Yunjiang Rao; Zinan Wang; Huijuan Wu; Zengling Ran; Bing Han","2021","journal article","Photonic Sensors","11(1):1-30","10.1007/s13320-021-0619-4","https://doi.org/10.1007/s13320-021-0619-4","DOI metadata","S006","T1","review; phase-sensitive OTDR; recent advances","domestic","A","metadata and abstract verified","include","","rao2021recent","domestic and international development overview","phi-OTDR model overview","","2026-07-27","en","yes"
"LIT028","Time-expanded phase-sensitive optical time-domain reflectometry","Miguel Soriano-Amat; Hugo F. Martins; Vicente Duran; Luis Costa; Sonia Martin-Lopez; Miguel Gonzalez-Herraez; Maria R. Fernandez-Ruiz","2021","journal article","Light: Science & Applications","10(1):51","10.1038/s41377-021-00490-0","https://doi.org/10.1038/s41377-021-00490-0","DOI metadata","S006","T1","time expansion; bandwidth; phi-OTDR","international","A","open full text identified","include","","sorianoamat2021time","advanced acquisition architecture","time-expanded sensing model","","2026-07-27","en","yes"
"LIT029","Phase-sensitive optical time-domain reflectometry with Brillouin amplification","Z. N. Wang; J. Li; M. Q. Fan; L. Zhang; F. Peng; H. Wu; J. J. Zeng; Y. Zhou; Y. J. Rao","2014","journal article","Optics Letters","39(15):4313-4316","10.1364/OL.39.004313","https://doi.org/10.1364/OL.39.004313","DOI metadata","S006","T1","Brillouin amplification; sensing range; phi-OTDR","domestic","B","metadata and abstract verified","include","","wang2014brillouin","amplification route in conventional DAS","distributed amplification context","","2026-07-27","en","no"
"LIT031","Ultra-broadband phase-sensitive optical time-domain reflectometry with a temporally sequenced multi-frequency source","Zhaoyong Wang; Zhengqing Pan; Zujie Fang; Qing Ye; Bin Lu; Haiwen Cai; Ronghui Qu","2015","journal article","Optics Letters","40(22):5192-5195","10.1364/OL.40.005192","https://doi.org/10.1364/OL.40.005192","DOI metadata","S006","T1","multi-frequency source; ultra-broadband; phi-OTDR","domestic","A","metadata and abstract verified","include","","wang2015ultrabroadband","bandwidth expansion route","multi-frequency source model","","2026-07-27","en","no"
"LIT032","Influence of finite extinction ratio on performance of phase-sensitive optical time-domain reflectometry","Meiqi Ren; Da-Peng Zhou; Liang Chen; Xiaoyi Bao","2016","journal article","Optics Express","24(12):13325-13333","10.1364/OE.24.013325","https://doi.org/10.1364/OE.24.013325","DOI metadata","S006","T1","extinction ratio; coherent noise; performance","international","A","metadata and abstract verified","include","","ren2016extinction","extinction-ratio performance constraint","pulse extinction model","","2026-07-27","en","no"
"LIT033","Dynamic Measurements of 1000 Microstrains Using Chirped-Pulse Phase-Sensitive Optical Time-Domain Reflectometry","Hari Datta Bhatta; Luis Costa; Andres Garcia-Ruiz; Maria R. Fernandez-Ruiz; Hugo F. Martins; Moshe Tur; Miguel Gonzalez-Herraez","2019","journal article","Journal of Lightwave Technology","37(18):4888-4895","10.1109/JLT.2019.2928621","https://doi.org/10.1109/JLT.2019.2928621","DOI metadata","S006","T1","chirped pulse; dynamic strain; large strain","international","B","metadata and abstract verified","include","","bhatta2019dynamic","quantitative dynamic-strain progress","chirped-pulse measurement model","","2026-07-27","en","no"
"LIT037","Interference Fading Mitigation in Coherent Phi-OTDR Based on Subband Phase-Shift Transform","Yafeng Cheng; Hanyong Wang; Desheng Li; Ying Qiu; Ming Luo; Xu Zhang; Jing Zhang; Zhichao Wu; Tianye Huang; Xiang Li","2023","journal article","IEEE Photonics Journal","15(5):1-6","10.1109/JPHOT.2023.3316350","https://doi.org/10.1109/JPHOT.2023.3316350","DOI metadata","S006","T4","interference fading; subband phase shift; coherent phi-OTDR","domestic","A","metadata and abstract verified","include","","cheng2023subband","fading-mitigation progress","subband phase-shift method","","2026-07-27","en","yes"
"LIT038","Signal-and-Kernel Phase Noise Compensation Method for Distributed Acoustic Sensors","Zhengyuan Xiao; Jiageng Chen; Yuanpeng Deng; Qingwen Liu; Xinyu Fan; Zuyuan He","2024","journal article","Journal of Lightwave Technology","42(18):6466-6475","10.1109/JLT.2024.3396649","https://doi.org/10.1109/JLT.2024.3396649","DOI metadata","S006","T4","phase noise; kernel compensation; DAS","domestic","A","metadata and abstract verified","include","","xiao2024signal","phase-noise compensation progress","phase-noise model and compensation","","2026-07-27","en","yes"
"LIT039","Low Computational Cost Distributed Acoustic Sensing Using Analog I/Q Demodulation","Fei Jiang; Zixiao Lu; Feida Cai; Honglang Li; Zhenhai Zhang; Yixin Zhang; Xuping Zhang","2019","journal article","Sensors","19(17):3753","10.3390/S19173753","https://doi.org/10.3390/S19173753","DOI metadata","S006","T4","analog IQ; low computational cost; DAS","domestic","A","open full text identified","include","","jiang2019analog","IQ-demodulation implementation route","analog IQ model","","2026-07-27","en","no"
"LIT040","Transient nanostrain detection in phi-OTDR using statistics-based signal processing","Hao Chen; Yang Xu; Sen Qian; Hai Yuan; Lei Su","2020","journal article","Journal of Lightwave Technology","38(18):4883-4891","10.1109/JLT.2020.2996232","https://doi.org/10.1109/JLT.2020.2996232","DOI metadata","S006","T4","transient strain; statistical processing; phi-OTDR","domestic","B","metadata and abstract verified","include","","chen2020transient","signal-processing performance progress","statistical detection basis","","2026-07-27","en","no"
"LIT041","Interference-Fading-Suppressed Pulse-Coding Phi-OTDR Using Spectrum Extraction and Rotated-Vector-Sum Method","Kexin Cui; Fei Liu; Kuiru Wang; Xiaojun Liu; Jinhui Yuan; Binbin Yan; Xian Zhou","2021","journal article","IEEE Photonics Journal","13(6):1-6","10.1109/JPHOT.2021.3121064","https://doi.org/10.1109/JPHOT.2021.3121064","DOI metadata","S006","T4","pulse coding; fading suppression; rotated vector sum","domestic","A","metadata and abstract verified","include","","cui2021interference","fading-suppressed pulse coding","spectrum extraction and vector sum","","2026-07-27","en","yes"
"LIT042","Research Progress in Distributed Acoustic Sensing Techniques","Ying Shang; Maocheng Sun; Chen Wang; Jian Yang; Yuankai Du; Jichao Yi; Wenan Zhao; Yingying Wang; Yanjie Zhao; Jiasheng Ni","2022","journal article","Sensors","22(16):6060","10.3390/S22166060","https://doi.org/10.3390/S22166060","DOI metadata","S006","T1","review; DAS; applications; demodulation","domestic","B","open full text identified","include","","shang2022research","recent DAS review and applications","DAS framework overview","","2026-07-27","en","yes"
"LIT043","Recent Progress in Distributed Fiber Acoustic Sensing with Phi-OTDR","Zhaoyong Wang; Bin Lu; Qing Ye; Haiwen Cai","2020","journal article","Sensors","20(22):6594","10.3390/S20226594","https://doi.org/10.3390/S20226594","DOI metadata","S006","T1","review; phi-OTDR; distributed acoustic sensing","domestic","A","open full text identified","include","","wang2020recent","research progress and limitations","phi-OTDR system framework","","2026-07-27","en","no"
"LIT044","Distributed Dynamic Strain Sensing via Perfect Periodic Coherent Codes and a Polarization Diversity Receiver","Juan Jose Mompo; Lihi Shiloh; Nadav Arbel; Nadav Levanon; Alayn Loayssa; Avishay Eyal","2019","journal article","Journal of Lightwave Technology","37(18):4597-4602","10.1109/JLT.2019.2913464","https://doi.org/10.1109/JLT.2019.2913464","DOI metadata","S006","T4","coherent codes; polarization diversity; dynamic strain","international","A","metadata and abstract verified","include","","mompo2019distributed","polarization-diversity development","polarization receiver model","","2026-07-27","en","no"
"LIT045","Chirp characterization of SOAs under sub-nanosecond electro-optical switching using heterodyne signal post-processing","Tiago Sutili; Mareli Rodigheri; Cristiano M. Gallep; Evandro Conforti","2021","journal article","Optics Communications","500:127317","10.1016/j.optcom.2021.127317","https://doi.org/10.1016/j.optcom.2021.127317","DOI metadata","S007","T2","SOA chirp; sub-nanosecond switching; heterodyne characterization","international","A","metadata and abstract verified","include","","sutili2021chirp","direct mechanism support for SOA transient frequency","heterodyne chirp measurement","","2026-07-27","en","yes"
"LIT049","Saturation induced by picosecond pulses in semiconductor optical amplifiers","Antonio Mecozzi; Jesper Mork","1997","journal article","Journal of the Optical Society of America B","14(4):761-770","10.1364/JOSAB.14.000761","https://doi.org/10.1364/JOSAB.14.000761","DOI metadata","S007","T2","gain saturation; picosecond pulse; SOA","international","B","metadata and abstract verified","include","","mecozzi1997saturation","SOA pulse saturation mechanism","saturation model","","2026-07-27","en","no"
"LIT051","Gain dynamics of semiconductor optical amplifiers and three-wavelength devices","G. Talli; M. J. Adams","2003","journal article","IEEE Journal of Quantum Electronics","39(10):1305-1313","10.1109/JQE.2003.817245","https://doi.org/10.1109/JQE.2003.817245","DOI metadata","S007","T2","gain dynamics; carrier density; SOA","international","B","metadata and abstract verified","include","","talli2003gain","SOA carrier-gain dynamics","gain dynamic model","","2026-07-27","en","no"
"LIT053","Self-Phase Modulation in Semiconductor Optical Amplifiers: Impact of Amplified Spontaneous Emission","Prashant P. Baveja; Drew N. Maywar; Aaron M. Kaplan; Govind P. Agrawal","2010","journal article","IEEE Journal of Quantum Electronics","46(9):1396-1403","10.1109/JQE.2010.2048743","https://doi.org/10.1109/JQE.2010.2048743","DOI metadata","S007","T2","self-phase modulation; ASE; SOA","international","A","metadata and abstract verified","include","","baveja2010selfphase","SOA phase and ASE mechanism","self-phase modulation model","","2026-07-27","en","no"
"LIT056","High-precision high-stability acousto-optic pulse picking driver with a direct digital synthesis technique","Yunwei Zhang; Shang Wang; Yuyuan Fan; Junliang Liu; Zengguang Qin; Zhigang Zhao; Zhaojun Liu","2024","journal article","Optics Letters","49(17):4895-4898","10.1364/OL.529854","https://doi.org/10.1364/OL.529854","DOI metadata","S007","T3","AOM driver; DDS; stability; pulse picking","domestic","B","metadata and abstract verified","include","","zhang2024highprecision","AOM driver stability and gating","pulse-picking driver design","","2026-07-27","en","yes"
"LIT057","Introducing coherent MIMO sensing a fading-resilient polarization-independent approach to phi-OTDR","Sterenn Guerrier; Christian Dorize; Elie Awwad; Jeremie Renaudier","2020","journal article","Optics Express","28(14):21081-21094","10.1364/OE.396460","https://doi.org/10.1364/OE.396460","DOI metadata","S008","T4","coherent MIMO; fading resilience; polarization independence","international","A","metadata and abstract verified","include","","guerrier2020mimo","advanced polarization-independent sensing","coherent MIMO model","","2026-07-27","en","no"
"LIT058","Polarization fading mitigation in distributed acoustic sensors based on a high-speed polarization rotator","Shahab Bakhtiari Gorajoobi; Ali Masoudi; Gilberto Brambilla","2022","journal article","Optics Letters","47(5):1283-1286","10.1364/OL.450388","https://doi.org/10.1364/OL.450388","DOI metadata","S008","T4","polarization fading; polarization rotator; DAS","international","A","metadata and abstract verified","include","","gorajoobi2022polarization","polarization-fading mitigation route","polarization diversity basis","","2026-07-27","en","yes"
"LIT059","Continuous chirped-wave phase-sensitive optical time domain reflectometry","Jialin Jiang; Zinan Wang; Zitan Wang; Zijie Qiu; Chunye Liu; Yunjiang Rao","2021","journal article","Optics Letters","46(3):685-688","10.1364/OL.415087","https://doi.org/10.1364/OL.415087","DOI metadata","S008","T1","continuous chirped wave; pulse compression; phi-OTDR","domestic","A","metadata and abstract verified","include","","jiang2021continuous","alternative interrogation architecture","chirped-wave reflectometry model","","2026-07-27","en","yes"
"LIT060","Distributed Acoustic Sensing Using Chirped-Pulse Phase-Sensitive OTDR Technology","Maria R. Fernandez-Ruiz; Luis Costa; Hugo F. Martins","2019","journal article","Sensors","19(20):4368","10.3390/S19204368","https://doi.org/10.3390/S19204368","DOI metadata","S008","T1","review; chirped pulse; DAS","international","A","open full text identified","include","","fernandezruiz2019chirped","chirped-pulse DAS development","chirped-pulse principle","","2026-07-27","en","no"
"LIT062","Distributed Acoustic Sensing for Monitoring Linear Infrastructures: Current Status and Trends","Hong-Hu Zhu; Wei Liu; Tao Wang; Jing-Wen Su; Bin Shi","2022","journal article","Sensors","22(19):7550","10.3390/S22197550","https://doi.org/10.3390/S22197550","DOI metadata","S008","T1","review; infrastructure monitoring; trends","domestic","B","open full text identified","include","","zhu2022linear","engineering application and trend context","application requirement context","","2026-07-27","en","yes"
"LIT063","Spectrally stable Er-fiber laser for application in phase-sensitive optical time-domain reflectometry","Kyoo Nam Choi; H. F. Taylor","2003","journal article","IEEE Photonics Technology Letters","15(3):386-388","10.1109/LPT.2003.807905","https://doi.org/10.1109/LPT.2003.807905","DOI metadata","S008","T1","laser stability; linewidth; frequency drift","international","A","metadata and abstract verified","include","","choi2003stable","source-stability requirement","laser coherence and drift basis","","2026-07-27","en","no"
"LIT066","Fading Suppression of Distributed Acoustic Sensing Systems Based on Polarization-multifrequency Diversity Fusion","Lang Xie; Mingsong Wu; Yuehui Wang; Jingcheng Bai; Yunjiang Rao; Yu Wu","2023","conference paper","28th International Conference on Optical Fiber Sensors","Tu3.23","10.1364/OFS.2023.Tu3.23","https://doi.org/10.1364/OFS.2023.Tu3.23","DOI metadata and publisher abstract","S008","T4","polarization diversity; multifrequency diversity; fading suppression","domestic","B","publisher abstract verified","include","","xie2023fading","diversity-fusion development","polarization-multifrequency fusion","","2026-07-27","en","yes"
"LIT067","Noise and fading reduction in a phase-OTDR system using a multi-strand optical fiber sensing cable","Sami Meguellati; Hocine Medjadba; Lotfy Mokhtar Simohamed","2024","journal article","Applied Optics","63(18):4883-4890","10.1364/AO.522240","https://doi.org/10.1364/AO.522240","DOI metadata and publisher abstract","S008","T4","noise reduction; fading; multi-strand cable","international","B","publisher abstract verified","include","","meguellati2024noise","physical-diversity fading reduction","noise and fading comparison","","2026-07-27","en","yes"
"LIT069","Polarization discrimination in a phase-sensitive optical time-domain reflectometer intrusion-sensor system","Juan C. Juarez; Henry F. Taylor","2005","journal article","Optics Letters","30(24):3284-3286","10.1364/OL.30.003284","https://doi.org/10.1364/OL.30.003284","DOI metadata and publisher abstract","S008","T4","polarization discrimination; intrusion sensing; phi-OTDR","international","A","publisher abstract verified","include","","juarez2005polarization","early polarization-diversity sensing","orthogonal-polarization receiver basis","","2026-07-27","en","no"
"LIT070","Polarization dependent noise suppression for fiber distributed acoustic sensor with birefringence estimation","Yujia Liu; Hao Li; Tao Liu; Cunzheng Fan; Zhijun Yan; Deming Liu; Qizhen Sun","2020","conference paper","Conference on Lasers and Electro-Optics","JW2E.18","10.1364/CLEO_AT.2020.JW2E.18","https://doi.org/10.1364/CLEO_AT.2020.JW2E.18","DOI metadata and publisher abstract","S008","T4","birefringence estimation; polarization noise; DAS","domestic","B","publisher abstract verified","include","","liu2020polarization","polarization-dependent noise suppression","birefringence estimation","","2026-07-27","en","no"
